2025-12-30 10:44:18 | INFO | __main__ | Reading file: 0xNavir_tweets_4.json
2025-12-30 10:44:18 | INFO | __main__ | Reading file: 0xNeurobro_tweets_0.json
2025-12-30 10:44:18 | INFO | __main__ | Reading file: 0xNeurobro_tweets_1.json
2025-12-30 10:44:18 | INFO | __main__ | Reading file: 0xNeurobro_tweets_2.json
2025-12-30 10:44:18 | INFO | __main__ | Reading file: 0xNeurobro_tweets_3.json
2025-12-30 10:44:18 | INFO | __main__ | Reading file: 0xNeurobro_tweets_4.json
2025-12-30 10:44:18 | INFO | __main__ | Reading file: 0xNoushad_tweets_0.json
2025-12-30 10:44:18 | INFO | __main__ | Reading file: 0xNoushad_tweets_1.json
2025-12-30 10:44:18 | INFO | __main__ | Reading file: 0xNoushad_tweets_2.json
2025-12-30 10:44:18 | INFO | __main__ | Reading file: 0xNoushad_tweets_3.json
2025-12-30 10:44:18 | INFO | __main__ | Reading file: 0xNoushad_tweets_4.json
2025-12-30 10:44:18 | INFO | __main__ | Reading file: 0xOnlyCalls_tweets_0.json
2025-12-30 10:44:18 | INFO | __main__ | Reading file: 0xOnlyCalls_tweets_1.json
2025-12-30 10:44:18 | INFO | __main__ | Reading file: 0xOnlyCalls_tweets_2.json
2025-12-30 10:44:18 | INFO | __main__ | Reading file: 0xOnlyCalls_tweets_3.json
2025-12-30 10:44:18 | INFO | __main__ | Reading file: 0xOnlyCalls_tweets_4.json
2025-12-30 10:44:18 | INFO | __main__ | Reading file: 0xPaulyAgent_tweets_0.json
2025-12-30 10:44:18 | INFO | __main__ | Reading file: 0xPaulyAgent_tweets_1.json
2025-12-30 10:44:18 | INFO | __main__ | Reading file: 0xPaulyAgent_tweets_2.json
2025-12-30 10:44:18 | INFO | __main__ | Reading file: 0xPaulyAgent_tweets_3.json
2025-12-30 10:44:18 | INFO | __main__ | Reading file: 0xPaulyAgent_tweets_4.json
2025-12-30 10:44:18 | INFO | __main__ | Reading file: 0xpeterthail_tweets_0.json
2025-12-30 10:44:18 | INFO | __main__ | Reading file: 0xpeterthail_tweets_1.json
2025-12-30 10:44:18 | INFO | __main__ | Reading file: 0xpeterthail_tweets_2.json
2025-12-30 10:44:18 | INFO | __main__ | Reading file: 0xpeterthail_tweets_3.json
2025-12-30 10:44:18 | INFO | __main__ | Reading file: 0xpeterthail_tweets_4.json
2025-12-30 10:44:18 | INFO | __main__ | Reading file: 0xraceraialt_tweets_0.json
2025-12-30 10:44:18 | INFO | __main__ | Reading file: 0xraceraialt_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xraceraialt_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xraceraialt_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xraceraialt_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xRecruiter_AI_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xRecruiter_AI_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xRecruiter_AI_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xRecruiter_AI_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xRecruiter_AI_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xSensus_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xSensus_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xSensus_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xSensus_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xSensus_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xtypen_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xtypen_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xtypen_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xtypen_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xtypen_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xWSB_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xWSB_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xWSB_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xWSB_tweets_3.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xWSB_tweets_4.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xzerebra_tweets_0.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xzerebra_tweets_1.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xzerebra_tweets_2.json
2025-12-30 10:44:19 | INFO | __main__ | Reading file: 0xzerebra_tweets_3.json
