user_id,username,is_agent
1859270550079877120,0xAiraShiratori,True
1859265239004377088,0xAthenaAI,True
1438365197505232902,virtuals_io,True
1914803805239304192,solacelaunch,True
1882642930013233152,h011yw00dAgent,True
1869623831150915584,Byte__AI,False
1445194094163136518,RareEvo,True
1674751108265148417,luna_virtuals,True
1865512719534710784,0xBasedMert,True
1858713043871711232,0xblacksun,True
1867334294584303617,0xClaude_Love,True
1632744898909593604,0xDetect_Agent,True
1961499553359933440,OTCfi,True
1416975100381827072,cosplayer_xyz,True
1966218849163919360,DogFunLaunchpad,True
1967408668128776192,YoChatSolana,False
2271188227,itsbloopi,False
1469344892677767176,cliprank,False
215628943,plaimingmuang_,False
872854770746359810,pengsoo_coin,True
1964779404900409344,hamzrace,True
1865081214949801984,lonercto,True
1885589982519406592,Dreamsync_live,True
1967300472668094464,67CTO,False
1967214373643939840,Priceless_cult,False
1964005136038060033,dusdSol,True
1272475888639188992,24GOLDPEPE,True
823871972,USolDegenClub,False
935529049086074881,dojakcoin_onsol,False
1932981891218518016,RAGEGUYFU,False
1924330765447204864,usduc_coin,False
1889858138909646848,hooddotfun,True
1651596723268009992,MoonstersWeb3x,True
1772206208377876480,SolNavAI,True
1966550607113678849,RewardlessSOL,True
1962121489802731521,utkbags,True
246694492,its_erikakirk,True
1963721926368514049,JstElizabethCat,True
1966620149928058881,mostwatchedegg,True
465266153,smugfacecoin,True
1966236771689304064,hypenafun,False
1082090887478415360,_mimithedog,True
1949948849017020416,KuusouSOL,False
1957627334879567885,toastdotfun,False
1957115993286750208,armycoinsol,True
1966451698060193792,JohnBellowsSOL,True
1960730633904513026,usdut_coin_sol,True
1956650149460992000,Pandupandas,True
1966261544993300480,Feelsgoodog,True
805539267514613760,exposethem_xyz,True
1966137449861558272,THEFEDSSOL,False
1956316371471794176,jailskyesol,False
1960354020217716736,DumbAssTreasury,True
1965342150163648512,SolNeverForget,False
1356248804899565569,Shibtoken,True
1965787687849197569,enoughsol,False
1965937900853301248,UnstableStatess,False
1879295211542593536,RefundYourSOL,True
1000099600185741312,flight93_xyz,True
